RECALL_DATE,RECALL_NUMBER,AREA_OF_CONCERN,PRIMARY_RECALL,BRAND_NAME,COMMON_NAME,YEAR,MONTH,WEEK,QUARTER,YEAR_MONTH,YEAR_SEASON,DAYS_SINCE_LAST_BRAND_RECALL,DAYS_SINCE_LAST_PROD_RECALL,BRAND_RECALL_FREQ,PATHOGEN_FREQ,Incident_Pathogen,Incident_Severity,Incident_BrandsInvolved,Incident_UniqueProducts,Incident_NumItems,Incident_DurationDays,Season_Fall,Season_Spring,Season_Summer,Season_Winter,Season_nan,Day_Friday,Day_Monday,Day_Saturday,Day_Sunday,Day_Thursday,Day_Tuesday,Day_Wednesday,Day_nan,Class_Class I,Class_Class II,Class_Class III,Class_nan,Depth_consumer,Depth_retail/hri,Depth_wholesale,Depth_nan,RECALL_CLASS_NUM
2011-04-03 23:15:00,6318,microbiological (pathogenic) e.coli o157:h7,Yes,distributed by / distribuées par amira enterprises inc.,noix de grenoble crues écalées vendues en vrac / raw shelled walnuts sold from bulk,2011,4,13,2,2011-04,2011_Spring,0.0,0.0,1,3462,microbiological (pathogenic) e.coli o157:h7,Class I,4,5,8,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,1
2011-04-03 23:15:00,6318,microbiological (pathogenic) e.coli o157:h7,Yes,amira,noix de grenoble crues écalées préemballées / prepackaged raw shelled walnuts,2011,4,13,2,2011-04,2011_Spring,0.0,0.0,4,3462,microbiological (pathogenic) e.coli o157:h7,Class I,4,5,8,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,1
2011-04-03 23:15:00,6318,microbiological (pathogenic) e.coli o157:h7,Yes,selection,noix de grenoble crues écalées préemballées /  prepackaged raw shelled walnuts,2011,4,13,2,2011-04,2011_Spring,0.0,0.0,6,3462,microbiological (pathogenic) e.coli o157:h7,Class I,4,5,8,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,1
2011-04-03 23:15:00,6318,microbiological (pathogenic) e.coli o157:h7,Yes,tia,noix de grenoble crues écalées préemballées / prepackaged raw shelled walnuts,2011,4,13,2,2011-04,2011_Spring,0.0,0.0,3,3462,microbiological (pathogenic) e.coli o157:h7,Class I,4,5,8,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,1
2011-04-03 23:15:00,6318,microbiological (pathogenic) e.coli o157:h7,Yes,amira,mélange des bois contenant des noix de grenoble /  mistral mix containing walnuts,2011,4,13,2,2011-04,2011_Spring,0.0,0.0,4,3462,microbiological (pathogenic) e.coli o157:h7,Class I,4,5,8,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,1
2011-04-03 23:15:00,6318,microbiological (pathogenic) e.coli o157:h7,Yes,amira,energiseur a salade contenant des noix de grenoble / salad booster containing walnuts,2011,4,13,2,2011-04,2011_Spring,0.0,0.0,4,3462,microbiological (pathogenic) e.coli o157:h7,Class I,4,5,8,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,1
2011-04-03 23:15:00,6318,microbiological (pathogenic) e.coli o157:h7,Yes,tia,energiseur a salade contenant des noix de grenoble / salad booster containing walnuts,2011,4,13,2,2011-04,2011_Spring,0.0,0.0,3,3462,microbiological (pathogenic) e.coli o157:h7,Class I,4,5,8,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,1
2011-04-03 23:15:00,6318,microbiological (pathogenic) e.coli o157:h7,Yes,tia,mélange des bois contenant des noix de grenoble /  mistral mix containing walnuts,2011,4,13,2,2011-04,2011_Spring,0.0,0.0,3,3462,microbiological (pathogenic) e.coli o157:h7,Class I,4,5,8,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,1
2011-04-06 21:30:00,6325,microbiological (pathogenic) e.coli o157:h7,Yes,s/o,veau haché maigre / lean ground veal,2011,4,14,2,2011-04,2011_Spring,0.0,0.0,8,3462,microbiological (pathogenic) e.coli o157:h7,Class I,2,5,5,0,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,1
2011-04-06 21:30:00,6325,microbiological (pathogenic) e.coli o157:h7,Yes,sélection,boeuf haché / ground beef,2011,4,14,2,2011-04,2011_Spring,0.0,0.0,1,3462,microbiological (pathogenic) e.coli o157:h7,Class I,2,5,5,0,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,1
2011-04-06 21:30:00,6325,microbiological (pathogenic) e.coli o157:h7,Yes,s/o,boeuf haché mi-maigre / medium ground beef,2011,4,14,2,2011-04,2011_Spring,0.0,0.0,8,3462,microbiological (pathogenic) e.coli o157:h7,Class I,2,5,5,0,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,1
2011-04-06 21:30:00,6325,microbiological (pathogenic) e.coli o157:h7,Yes,s/o,boeuf haché maigre / lean ground beef,2011,4,14,2,2011-04,2011_Spring,0.0,0.0,8,3462,microbiological (pathogenic) e.coli o157:h7,Class I,2,5,5,0,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,1
2011-04-06 21:30:00,6325,microbiological (pathogenic) e.coli o157:h7,Yes,s/o,haut cote haché de boeuf / beef mince chuck,2011,4,14,2,2011-04,2011_Spring,0.0,0.0,8,3462,microbiological (pathogenic) e.coli o157:h7,Class I,2,5,5,0,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,1
2011-04-08 13:15:00,6317,microbiological (other),No,compliments,asparagus cuts / asperges coupées,2011,4,14,2,2011-04,2011_Spring,0.0,0.0,74,365,microbiological (other),Class II,1,1,2,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2
2011-04-08 13:15:00,6317,microbiological (other),No,compliments,asparagus cuts / asperges coupées,2011,4,14,2,2011-04,2011_Spring,0.0,0.0,74,365,microbiological (other),Class II,1,1,2,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2
2011-04-08 16:00:00,6331,microbiological (pathogenic) e.coli o157:h7,No,"sold at kim's mart,  519-523 e broadway, vancouver bc",walnuts - halves & pieces,2011,4,14,2,2011-04,2011_Spring,0.0,0.0,1,3462,microbiological (pathogenic) e.coli o157:h7,Class I,1,1,1,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,1
2011-04-08 16:00:00,6330,microbiological (pathogenic) e.coli o157:h7,No,"sold at triple a market, vancouver bc",raw shelled walnuts,2011,4,14,2,2011-04,2011_Spring,0.0,0.0,1,3462,microbiological (pathogenic) e.coli o157:h7,Class I,1,1,1,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,1
2011-04-11 16:00:00,6334,microbiological (pathogenic) e.coli o157:h7,No,"sold from asia food mart, 1154 hamilton rd., london, on",salad booster,2011,4,15,2,2011-04,2011_Spring,0.0,0.0,3,3462,microbiological (pathogenic) e.coli o157:h7,Class I,1,2,3,0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,1
2011-04-11 16:00:00,6334,microbiological (pathogenic) e.coli o157:h7,No,"sold from asia food mart, 1154 hamilton rd., london, on",shelled walnuts,2011,4,15,2,2011-04,2011_Spring,0.0,0.0,3,3462,microbiological (pathogenic) e.coli o157:h7,Class I,1,2,3,0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,1
2011-04-11 16:00:00,6334,microbiological (pathogenic) e.coli o157:h7,No,"sold from asia food mart, 1154 hamilton rd., london, on",shelled walnuts,2011,4,15,2,2011-04,2011_Spring,0.0,0.0,3,3462,microbiological (pathogenic) e.coli o157:h7,Class I,1,2,3,0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,1
2011-04-11 16:00:00,6335,microbiological (pathogenic) e.coli o157:h7,No,"sold at jimmy's a & a mediterranean deli, calgary, ab",shelled walnuts,2011,4,15,2,2011-04,2011_Spring,0.0,0.0,1,3462,microbiological (pathogenic) e.coli o157:h7,Class I,1,1,1,0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,1
2011-04-15 15:20:00,6337,microbiological (pathogenic) listeria,Yes,summersweet fine foods,trempette de homard et crevettes / lobster & shrimp dip,2011,4,15,2,2011-04,2011_Spring,0.0,0.0,7,2656,microbiological (pathogenic) listeria,Class I,1,6,7,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,1
2011-04-15 15:20:00,6337,microbiological (pathogenic) listeria,Yes,summersweet fine foods,trempette de saumon fumé et artichaut rôti / smoked salmon & roasted artichoke dip,2011,4,15,2,2011-04,2011_Spring,0.0,0.0,7,2656,microbiological (pathogenic) listeria,Class I,1,6,7,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,1
2011-04-15 15:20:00,6337,microbiological (pathogenic) listeria,Yes,summersweet fine foods,trempette de crabe et trois fromages / crab & three cheese dip,2011,4,15,2,2011-04,2011_Spring,0.0,0.0,7,2656,microbiological (pathogenic) listeria,Class I,1,6,7,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,1
2011-04-15 15:20:00,6337,microbiological (pathogenic) listeria,Yes,summersweet fine foods,mousse de saumon fumé et épinards / smoked salmon & spinach mousse,2011,4,15,2,2011-04,2011_Spring,0.0,0.0,7,2656,microbiological (pathogenic) listeria,Class I,1,6,7,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,1
